perturbation,variable,term,membership_type,breakpoint_index,direction,original_value,perturbed_value,effective_value,MAP,nDCG@10,P@5,MRR,delta_MAP,delta_nDCG@10,delta_P@5,delta_MRR,kendall_tau,average_rank_displacement
similarity.relevant.b1.minus_10,similarity,relevant,trimf,1,minus_10,0.3,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.relevant.b2.plus_10,similarity,relevant,trimf,2,plus_10,0.5,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.relevant.b2.minus_10,similarity,relevant,trimf,2,minus_10,0.5,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.relevant.b3.plus_10,similarity,relevant,trimf,3,plus_10,0.7,0.77,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.relevant.b3.minus_10,similarity,relevant,trimf,3,minus_10,0.7,0.63,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.highly_relevant.b1.plus_10,similarity,highly_relevant,trimf,1,plus_10,0.6,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.highly_relevant.b1.minus_10,similarity,highly_relevant,trimf,1,minus_10,0.6,0.54,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.highly_relevant.b2.plus_10,similarity,highly_relevant,trimf,2,plus_10,0.78,0.858,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.highly_relevant.b2.minus_10,similarity,highly_relevant,trimf,2,minus_10,0.78,0.702,0.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.highly_relevant.b3.plus_10,similarity,highly_relevant,trimf,3,plus_10,0.92,1.012,1.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.highly_relevant.b3.minus_10,similarity,highly_relevant,trimf,3,minus_10,0.92,0.828,0.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.exact_match.b1.plus_10,similarity,exact_match,trimf,1,plus_10,0.85,0.935,0.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.exact_match.b1.minus_10,similarity,exact_match,trimf,1,minus_10,0.85,0.765,0.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.exact_match.b2.plus_10,similarity,exact_match,trimf,2,plus_10,0.95,1.045,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.exact_match.b2.minus_10,similarity,exact_match,trimf,2,minus_10,0.95,0.855,0.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.exact_match.b3.plus_10,similarity,exact_match,trimf,3,plus_10,1.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
similarity.exact_match.b3.minus_10,similarity,exact_match,trimf,3,minus_10,1.0,0.9,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.very_low.b1.plus_10,relevance,very_low,trimf,1,plus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.very_low.b1.minus_10,relevance,very_low,trimf,1,minus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.very_low.b2.plus_10,relevance,very_low,trimf,2,plus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.very_low.b2.minus_10,relevance,very_low,trimf,2,minus_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.very_low.b3.plus_10,relevance,very_low,trimf,3,plus_10,0.25,0.275,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.very_low.b3.minus_10,relevance,very_low,trimf,3,minus_10,0.25,0.225,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.low.b1.plus_10,relevance,low,trimf,1,plus_10,0.1,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.low.b1.minus_10,relevance,low,trimf,1,minus_10,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.low.b2.plus_10,relevance,low,trimf,2,plus_10,0.28,0.308,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.low.b2.minus_10,relevance,low,trimf,2,minus_10,0.28,0.252,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.low.b3.plus_10,relevance,low,trimf,3,plus_10,0.45,0.495,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.low.b3.minus_10,relevance,low,trimf,3,minus_10,0.45,0.405,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
relevance.moderate.b1.plus_10,relevance,moderate,trimf,1,plus_10,0.35,0.385,0.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
