id,name,title_en,title_de,metadata_created,metadata_modified,days_since_modified,organization_name,publisher,description_length,num_keywords,num_themes,num_resources,resource_formats,has_api,license_id,completeness_score,title_length
f0d4ea3e-8fa9-4d38-9cfa-90170c5964dd,meteoschweiz-manuelle-niederschlagsstationen-tageswerte-allenwinden-tg-alw,,"MeteoSchweiz Manuelle Niederschlagsstationen: Tageswerte - Allenwinden, TG (ALW)",2025-08-29T12:05:07.203286,2026-03-06T13:22:20.949595,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",394,6,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,80
b12e9297-1749-4171-9674-b3b6d66cdbcc,finanzkennzahlen-schulgemeinden-kanton-thurgau-2015-2016,,Finanzkennzahlen Schulgemeinden Kanton Thurgau 2015/2016,2022-02-28T11:03:36.489555,2026-03-06T13:22:16.886767,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",563,5,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,56
4b7169bd-d769-4ca0-b11b-9b5b13ea158f,ubersicht-finanzlage-schulgemeinden-kanton-thurgau-2014,,Übersicht Finanzlage Schulgemeinden Kanton Thurgau 2014,2022-02-28T11:06:28.689102,2026-03-06T13:22:12.931526,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",764,10,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,55
3f99d1be-0802-4bd7-bdd4-468cfb7bcf3b,neu-erstellte-wohngebaude-nach-gebaudekategorie-nach-politischer-gemeinde,,Neu erstellte Wohngebäude nach Gebäudekategorie nach Politischer Gemeinde,2023-12-20T11:53:04.413777,2026-03-06T13:22:08.737990,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",840,9,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7778,73
eccb2f3a-1a31-4149-aa0d-2ef20fb5dece,resultate-der-eidgenossischen-abstimmungen-im-kanton-thurgau-ab-1866-ebene-kanton,,Resultate der eidgenössischen Abstimmungen im Kanton Thurgau ab 1866 - Ebene Kanton,2022-02-28T11:06:02.399595,2026-03-06T13:22:04.622296,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",810,12,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,83
9e91bfe9-5ac1-43a2-b14b-f15c7d851a47,gebaude-mit-wohnnutzung-nach-gebaudekategorie-und-politischer-gemeinde-bestand,,Gebäude mit Wohnnutzung nach Gebäudekategorie und Politischer Gemeinde (Bestand),2023-12-20T11:52:07.176391,2026-03-06T13:22:00.480527,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",829,5,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7778,80
ac895714-589e-4124-9ef7-daaa35857dd7,obligatorische-schiesspflicht-auswertung-versand-schiessbriefe,,Obligatorische Schiesspflicht Auswertung: Versand Schiessbriefe,2022-02-28T11:03:16.769813,2026-03-06T13:21:56.288991,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",228,6,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,63
59b3d25c-ad8d-4cdb-be67-deb1325499a3,finanzkennzahlen-schulgemeinden-kanton-thurgau-2012-2013,,Finanzkennzahlen Schulgemeinden Kanton Thurgau 2012/2013,2022-02-28T11:04:21.618114,2026-03-06T13:21:47.115776,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",1014,5,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,56
5ad6ebdc-5ca5-4396-aed0-173106afc9e1,anzahl-beschaftigte-nach-wirtschaftszweigen-nach-gemeinden,,Anzahl Beschäftigte nach Wirtschaftszweigen nach Gemeinden,2025-07-03T12:03:42.406431,2026-03-06T13:21:40.707841,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",1630,10,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,58
b3a8c71c-5bfc-408a-a47a-7b9767ad2117,gemeinderechnungen-2024,,Gemeinderechnungen 2024,2025-11-13T11:02:46.452925,2026-03-06T13:21:31.327396,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",728,11,2,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,23
2ac3ccab-9ca3-4678-95da-dabe9fdd3d1b,finanzkennzahlen-schulgemeinden-kanton-thurgau-2010-2011,,Finanzkennzahlen Schulgemeinden Kanton Thurgau 2010/2011,2022-02-28T11:06:29.771454,2026-03-06T13:21:27.151339,,kanton-thurgau,"{'url': 'https://data.tg.ch/explore/?refine.dcat_ap_ch.domain=kanton-thurgau', 'name': {'de': 'kanton-thurgau', 'en': '', 'fr': '', 'it': ''}}",563,6,1,9,"CSV,JSON,JSON,PARQUET,RDF XML,JSON-LD,RDF TURTLE,N3,XLS",False,,0.7222,56
